your_column,number_of_rooms,district
0.3953299198090318,2,B
-0.5936295898703992,3,A
-0.22157042631086868,3,A
2.0667802454521413,2,B
1.3411670853501365,1,C
-0.46850823653547563,2,C
0.41692889784678394,1,C
-0.22353268071440954,2,A
-0.8378830753297821,3,A
0.06041502081953733,1,A
1.0811346395071475,3,B
0.710894514024123,1,B
-0.46497382430135076,2,B
-0.36513567022133303,2,A
1.2640138584927507,3,A
-1.345317735586176,3,A
-1.2572579909651698,2,A
-2.2481217987924644,2,B
-0.17398464281204068,1,A
0.4278006845401366,2,A
0.6105025604679278,2,B
0.25151389753285475,1,A
-1.058556635283953,1,A
-0.8203210294078404,3,B
-1.7827365957103276,1,A
0.5339753027215032,2,C
-0.6016312495175714,2,A
0.9149921572813722,1,A
-0.006421565694502527,1,C
0.9384881973720107,1,A
-1.0453177353725136,3,B
1.1154291563975285,3,B
-0.22392513887107798,1,C
-1.3819594988674524,3,A
-0.48280080708433465,2,C
1.0150748534022294,1,C
0.5715496013273895,1,B
-0.17752353402837598,3,C
1.6912086859564956,3,A
0.39548925329668494,1,C
-0.8732522105878253,1,C
0.6334618110600725,1,C
1.1375112273092964,3,B
-0.6545330360464495,1,B
-0.7665488765555334,1,B
0.20062532509816103,2,A
0.11832948783349227,2,A
0.04108315707095932,1,B
-0.29700595814828384,2,A
-0.4136498797390538,2,C
0.11737916566755163,1,C
0.5278934553021778,3,A
1.0758891070538916,2,A
-1.5834268281037918,2,A
1.8307071191839743,1,C
-1.419562822081724,3,B
-0.2092535953165483,3,A
1.1117791778065678,2,C
1.440578863995707,3,A
-0.9402959026857866,1,C
0.9066962320820261,2,A
-0.8203300908881102,1,C
-1.1260821321512748,1,B
0.8295749800586767,3,B
0.735435600898583,3,C
-0.04435599457002959,1,A
-0.2383911677583651,1,A
-0.9572423239677639,3,B
-1.0540480049865006,3,C
0.6351538396781395,1,C
-0.1171724718507067,1,B
-1.26083015413812,3,C
0.7215232475882217,1,C
-1.71291974663184,2,C
-0.6817805724559276,2,C
0.017046031888784372,1,B
0.20834935145299455,1,B
0.01956927661125042,1,C
0.5772950472660793,1,A
0.3752551176587404,3,A
-2.1724733906768074,1,A
0.31875162157855874,3,B
-0.30811742555778837,1,A
0.11054703807768464,3,A
-0.2998634491657624,2,A
-0.2501892476542953,1,B
0.12828641015094888,2,C
-1.758536976544129,3,B
-1.7930493455124428,3,C
-0.45030675558963207,2,A
0.5647709561396157,1,B
-0.06384526513858187,2,C
-1.1274617635628588,1,B
-2.0007249156706917,3,A
0.8151075943433908,3,C
-0.7285043437099648,2,A
-0.8622852985832997,2,C
0.06458660893337628,1,A
-0.2679817246892763,1,B
-3.3488821687001042,2,B
0.21251648874616505,3,C
-0.6669716664112647,3,B
0.49377534917380994,3,B
-1.833337677328196,1,A
-0.554236013248516,2,C
-0.05088416819491258,2,C
-2.162432160357145,1,B
-1.1920150674879728,2,C
1.5198329935802088,2,C
-0.8969750926963586,1,A
-1.2748915480315715,1,C
0.6484032852103124,2,B
0.49414283561547817,3,A
